ID,PUP Branch and Campuses ,Program / Course,Year Level ,What are your Current Specialization or Fields of Interests?,Technologies/Frameworks you're familiar with,How stable would you rate your internet connection at home?
159,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,3rd Year,Data Science & AI,"- Python
- Java
- HTML
- PHP
- Java Script",4
160,San Juan (Branch),BS Computer Science,4th Year,"Data Science & AI, Graphics/Games Related Development","- C
- Java
- HTML
- CSS
- Javascript",5
161,"Sta. Mesa,  Manila (MAIN)",BS Computer Science ,3rd Year,"Data Science & AI, Web Development","- HTML
- CSS
- JavaScript
- Python",5
162,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,3rd Year,Web Development,"-HTML
-CSS
-Java
-C",4
163,"Sta. Mesa,  Manila (MAIN)",BS Computer Science,2nd Year,Web Development,"- HTML
- CSS
-Python",4
164,"Sta. Mesa,  Manila (MAIN)",BS Computer Science,2nd Year,"Networks Engineering, Web Development, Graphics/Games Related Development, Cybersecurity, Human Computer  Interaction / UI & UX Engineering","HTML, CSS, JavaScript, Django, Java, Python, etc.",5
165,Sta Rosa (BRANCH),BS Information Technology ,2nd Year,"Data Science & AI, Networks Engineering, Web Development, Mobile Development, Cybersecurity, Human Computer  Interaction / UI & UX Engineering",python,3
166,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,3rd Year,"Data Science & AI, Graphics/Games Related Development, Cybersecurity, Human Computer  Interaction / UI & UX Engineering","-HTML
-Java
-Flutter
-Python
-CSS
-Javascript
-Ruby",5
167,"Sta. Mesa,  Manila (MAIN)",BS Computer Science,2nd Year,Web Development,"- Javascript
- PHP
- Laravel",4
168,Sta Rosa (BRANCH),BS Computer Sciene,3rd Year,Data Science & AI,"- C
- PHP
- Java
- JavaScript
- HTML 
- Python
- R
- Cobol
- MVC",3
169,Sta Rosa (BRANCH),BS Computer Engineering,3rd Year,"Web Development, Graphics/Games Related Development, Cybersecurity, Human Computer  Interaction / UI & UX Engineering","- C
- Java
",2
170,"Sta. Mesa,  Manila (MAIN)",BS Computer Science,3rd Year,Web Development,"- Javascript
- Typescript
- React
- Elixir
- Phoenix
- Node.js
- Python",3
